Date,Offence category,Incident_Count,Year,Month_Num,Month_Label
2021-01-10,Sexual offences,25.0,2021,1,Jan-21
2021-01-10,Theft,366.0,2021,1,Jan-21
2021-01-10,Transport regulatory offences,193.0,2021,1,Jan-21
2021-01-11,Abduction and kidnapping,0.0,2021,1,Jan-21
2021-01-11,Against justice procedures,204.0,2021,1,Jan-21
2021-01-11,Arson,15.0,2021,1,Jan-21
2021-01-11,Assault,168.0,2021,1,Jan-21
2021-01-11,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-11,Blackmail and extortion,2.0,2021,1,Jan-21
2021-01-11,Coercive Control,0.0,2021,1,Jan-21
2021-01-11,Disorderly conduct,41.0,2021,1,Jan-21
2021-01-11,Drug offences,84.0,2021,1,Jan-21
2021-01-11,Homicide,0.0,2021,1,Jan-21
2021-01-11,"Intimidation, stalking and harassment",111.0,2021,1,Jan-21
2021-01-11,Liquor offences,7.0,2021,1,Jan-21
2021-01-11,Malicious damage to property,191.0,2021,1,Jan-21
2021-01-11,Other offences,142.0,2021,1,Jan-21
2021-01-11,Other offences against the person,5.0,2021,1,Jan-21
2021-01-11,Pornography offences,1.0,2021,1,Jan-21
2021-01-11,Prohibited and regulated weapons offences,63.0,2021,1,Jan-21
2021-01-11,Robbery,4.0,2021,1,Jan-21
2021-01-11,Sexual offences,38.0,2021,1,Jan-21
2021-01-11,Theft,577.0,2021,1,Jan-21
2021-01-11,Transport regulatory offences,218.0,2021,1,Jan-21
2021-01-12,Abduction and kidnapping,0.0,2021,1,Jan-21
2021-01-12,Against justice procedures,184.0,2021,1,Jan-21
2021-01-12,Arson,12.0,2021,1,Jan-21
2021-01-12,Assault,145.0,2021,1,Jan-21
2021-01-12,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-12,Blackmail and extortion,0.0,2021,1,Jan-21
2021-01-12,Coercive Control,0.0,2021,1,Jan-21
2021-01-12,Disorderly conduct,59.0,2021,1,Jan-21
2021-01-12,Drug offences,117.0,2021,1,Jan-21
2021-01-12,Homicide,0.0,2021,1,Jan-21
2021-01-12,"Intimidation, stalking and harassment",114.0,2021,1,Jan-21
2021-01-12,Liquor offences,14.0,2021,1,Jan-21
2021-01-12,Malicious damage to property,135.0,2021,1,Jan-21
2021-01-12,Other offences,150.0,2021,1,Jan-21
2021-01-12,Other offences against the person,4.0,2021,1,Jan-21
2021-01-12,Pornography offences,2.0,2021,1,Jan-21
2021-01-12,Prohibited and regulated weapons offences,103.0,2021,1,Jan-21
2021-01-12,Robbery,9.0,2021,1,Jan-21
2021-01-12,Sexual offences,51.0,2021,1,Jan-21
2021-01-12,Theft,593.0,2021,1,Jan-21
2021-01-12,Transport regulatory offences,213.0,2021,1,Jan-21
2021-01-13,Abduction and kidnapping,3.0,2021,1,Jan-21
2021-01-13,Against justice procedures,242.0,2021,1,Jan-21
2021-01-13,Arson,11.0,2021,1,Jan-21
2021-01-13,Assault,192.0,2021,1,Jan-21
2021-01-13,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-13,Blackmail and extortion,0.0,2021,1,Jan-21
2021-01-13,Coercive Control,0.0,2021,1,Jan-21
2021-01-13,Disorderly conduct,55.0,2021,1,Jan-21
2021-01-13,Drug offences,113.0,2021,1,Jan-21
2021-01-13,Homicide,0.0,2021,1,Jan-21
2021-01-13,"Intimidation, stalking and harassment",113.0,2021,1,Jan-21
2021-01-13,Liquor offences,22.0,2021,1,Jan-21
2021-01-13,Malicious damage to property,168.0,2021,1,Jan-21
2021-01-13,Other offences,161.0,2021,1,Jan-21
2021-01-13,Other offences against the person,6.0,2021,1,Jan-21
2021-01-13,Pornography offences,1.0,2021,1,Jan-21
2021-01-13,Prohibited and regulated weapons offences,48.0,2021,1,Jan-21
2021-01-13,Robbery,7.0,2021,1,Jan-21
2021-01-13,Sexual offences,34.0,2021,1,Jan-21
2021-01-13,Theft,472.0,2021,1,Jan-21
2021-01-13,Transport regulatory offences,216.0,2021,1,Jan-21
2021-01-14,Abduction and kidnapping,0.0,2021,1,Jan-21
2021-01-14,Against justice procedures,254.0,2021,1,Jan-21
2021-01-14,Arson,7.0,2021,1,Jan-21
2021-01-14,Assault,169.0,2021,1,Jan-21
2021-01-14,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-14,Blackmail and extortion,0.0,2021,1,Jan-21
2021-01-14,Coercive Control,0.0,2021,1,Jan-21
2021-01-14,Disorderly conduct,48.0,2021,1,Jan-21
2021-01-14,Drug offences,152.0,2021,1,Jan-21
2021-01-14,Homicide,0.0,2021,1,Jan-21
2021-01-14,"Intimidation, stalking and harassment",125.0,2021,1,Jan-21
2021-01-14,Liquor offences,25.0,2021,1,Jan-21
2021-01-14,Malicious damage to property,138.0,2021,1,Jan-21
